ticker,elem,loss_profit,max_d5y,min_d5y,max_d3y,min_d3y
DVY,p3y,profit,0.6517261,0.3819953,0.6517261,0
DVY,p5y,profit,0.6517261,0.4578567,0.6517261,0
DVY,p3y,loss,0.02951249,0.02280893,0.1585075,0
EEM,p3y,profit,0.6532258,0.3304653,0.6532258,0.266651
EEM,p5y,profit,0.6532258,0.3105166,0.6532258,0.2410975
EEM,p3y,loss,0.6303894,0,0.3105166,0
EEM,p5y,loss,0.6532258,0,0.6532258,0
EFA,p3y,profit,0.624512,0.3254813,0.624512,0.2091957
EFA,p5y,profit,0.624512,0.2264695,0.624512,0.2264695
EFA,p3y,loss,0.2703012,0,0.2703012,0
EFA,p5y,loss,0.170479,0,0.170479,0
EPP,p3y,profit,0.6621818,0.3040209,0.6621818,0.3040209
EPP,p5y,profit,0.6621818,0.3040209,0.6621818,0.3040209
EPP,p3y,loss,0.6077401,0,0.3554662,0
EPP,p5y,loss,0.6621818,0.1777051,0.6077401,0.1777051
EWA,p3y,profit,0.6879847,0.3332019,0.6879847,0.151231
EWA,p5y,profit,0.6879847,0.3332019,0.6879847,0.2153747
EWA,p3y,loss,0.6879847,0,0.402765,0
EWA,p5y,loss,0.6879847,0,0.6879847,0
EWC,p3y,profit,0.6287823,0.2164801,0.6287823,0.2164801
EWC,p5y,profit,0.6287823,0.3699654,0.6287823,0.1999481
EWC,p3y,loss,0.614806,0,0.4384307,0
EWC,p5y,loss,0.6193338,0.2928468,0.614806,0.1957021
EWD,p3y,profit,0.7942864,0.3511257,0.7942864,0.04115825
EWD,p5y,profit,0.7942864,0.4888577,0.7942864,0.117337
EWD,p3y,loss,0.3232442,0,0.4245561,0
EWD,p5y,loss,0.3232442,0,0.1922681,0
EWG,p3y,profit,0.7215961,0.4335754,0.7157695,0.1483936
EWG,p5y,profit,0.7215961,0.4123003,0.7157695,0.1483936
EWG,p3y,loss,0.3421917,0,0.3902946,0
EWG,p5y,loss,0.3002478,0,0.2218443,0
EWH,p3y,profit,0.6524538,0.5148207,0.6420592,0.06393879
EWH,p5y,profit,0.6524538,0.5148207,0.6420592,0.1256334
EWH,p3y,loss,0.3313478,0,0.6524538,0
EWH,p5y,loss,0.2069336,0,0.2069336,0
EWI,p3y,profit,0.7419263,0.3115051,0.729858,0.07827315
EWI,p5y,profit,0.7419263,0.3074331,0.729858,0.283545
EWI,p3y,loss,0.4019307,0,0.4019307,0
EWI,p5y,loss,0.5698495,0,0.4533146,0
EWJ,p3y,profit,0.6221847,0.1199782,0.6063566,0.10217
EWJ,p5y,profit,0.6221847,0.1199782,0.6063566,0.117209
EWJ,p3y,loss,0.5319714,0,0.521052,0
EWJ,p5y,loss,0.6221847,0,0.4716864,0
EWK,p3y,profit,0.7621575,0.2869422,0.7621575,0
EWK,p5y,profit,0.7621575,0.1532312,0.7621575,0.1532312
EWK,p3y,loss,0.4230322,0,0.4230322,0
EWK,p5y,loss,0.6240433,0,0.3676111,0
EWL,p3y,profit,0.5473624,0.3974507,0.5247616,0.3425901
EWL,p5y,profit,0.5473624,0.3809626,0.5247616,0.2910825
EWL,p3y,loss,0.05663135,0,0.3809626,0
EWM,p3y,profit,0.8757215,0.06967213,0.8757215,0
EWM,p5y,profit,0.8757215,0.06967213,0.5219764,0
EWM,p3y,loss,0.4293824,0,0.4293824,0
EWM,p5y,loss,0.5219764,0,0.5219764,0
EWN,p3y,profit,0.6760427,0.3492921,0.6753636,0
EWN,p5y,profit,0.6760427,0.3867147,0.6753636,0.3002081
EWN,p3y,loss,0.5812106,0,0.3482279,0
EWN,p5y,loss,0.2472773,0,0.2472773,0
EWO,p3y,profit,0.7673899,0.2783605,0.7673899,0.007243316
EWO,p5y,profit,0.7673899,0.3708947,0.7673899,0
EWO,p3y,loss,0.7673899,0,0.7673899,0
EWO,p5y,loss,0.7673899,0,0.7673899,0
EWP,p3y,profit,0.7086557,0.3633697,0.6184599,0.3633697
EWP,p5y,profit,0.7086557,0.3633697,0.6370291,0.2786917
EWP,p3y,loss,0.6370291,0,0.6370291,0
EWP,p5y,loss,0.6370291,0,0.6370291,0
EWQ,p3y,profit,0.6305122,0.215108,0.6305122,0.215108
EWQ,p5y,profit,0.6305122,0.2122309,0.6305122,0.2122309
EWQ,p3y,loss,0.3638701,0,0.3638701,0
EWQ,p5y,loss,0.5902247,0,0.4637768,0
EWS,p3y,profit,0.7520556,0.3692196,0.6665503,0
EWS,p5y,profit,0.7522995,0.3895902,0.6665503,0
EWS,p3y,loss,0.6665503,0,0.7473989,0
EWS,p5y,loss,0.6665503,0.174387,0.3652896,0
EWT,p3y,profit,0.6279858,0.2845772,0.6617828,0.2314347
EWT,p5y,profit,0.6279858,0.2845772,0.6279858,0.2516472
EWT,p3y,loss,0.5009266,0,0.2565462,0
EWT,p5y,loss,0.6279858,0,0.6105664,0
EWU,p3y,profit,0.6652553,0.4332136,0.6652553,0.01452785
EWU,p5y,profit,0.6652553,0.3091506,0.6652553,0.3091506
EWU,p3y,loss,0.3708538,0,0.3708538,0
EWU,p5y,loss,0.3708538,0,0.3056687,0
EWW,p3y,profit,0.6594151,0.3657335,0.6594151,0.3421
EWW,p5y,profit,0.6594151,0.3657335,0.6594151,0.2673609
EWW,p3y,loss,0.4551184,0,0.4279086,0
EWW,p5y,loss,0.6594151,0,0.3551979,0
EWY,p3y,profit,0.7208224,0.4218554,0.7208224,0.4218554
EWY,p5y,profit,0.7208224,0.5883714,0.7208224,0.5883714
EWY,p3y,loss,0.3567733,0,0.3567733,0
EWY,p5y,loss,0.7208224,0,0.1940445,0
EWZ,p3y,profit,0.779257,0.5681843,0.7221232,0.3105787
EWZ,p5y,profit,0.779257,0.5581127,0.7221232,0.4961678
EWZ,p3y,loss,0.7221232,0,0.7221232,0
EWZ,p5y,loss,0.7221232,0,0.7221232,0
EZA,p3y,profit,0.6722796,0.4302682,0.6722796,0.4302682
EZA,p5y,profit,0.6514943,0.425247,0.6514943,0.425247
EZA,p3y,loss,0.471046,0,0.471046,0
EZA,p5y,loss,0.6514943,0,0.471046,0
EZU,p3y,profit,0.6742859,0.2059569,0.6742859,0.2059569
EZU,p5y,profit,0.6742859,0.2365233,0.6742859,0.2365233
EZU,p3y,loss,0.4044803,0,0.4044803,0
EZU,p5y,loss,0.3216447,0,0.2691739,0
FXI,p3y,profit,0.733722,0.4005629,0.733722,0.3485561
FXI,p5y,profit,0.733722,0.3342392,0.4555971,0.3342392
FXI,p3y,loss,0.6441192,0,0.3963671,0
FXI,p5y,loss,0.733722,0,0.6592395,0
IBB,p3y,profit,0.3448844,0.1623709,0.5832753,0.1623709
IBB,p5y,profit,0.6300069,0.159001,0.3448844,0.159001
IBB,p3y,loss,0.6300069,0.6300069,0.03730124,0.01648737
IDGT,p3y,profit,0.6377605,0.2977254,0.6377605,0.2977254
IDGT,p5y,profit,0.6377605,0.2950104,0.6377605,0.2950104
IDGT,p3y,loss,0.3132724,0,0.3520233,0
IDGT,p5y,loss,0.3132724,0,0.3132724,0
IDU,p3y,profit,0.4966865,0.4275971,0.5627165,0.4195323
IDU,p5y,profit,0.4966865,0.3598132,0.4966865,0.3598132
IDU,p3y,loss,0.5467718,0,0.121395,0
IEV,p3y,profit,0.6499543,0.2213896,0.6499543,0.2213896
IEV,p5y,profit,0.6499543,0.2114122,0.6499543,0.2114122
IEV,p3y,loss,0.3616793,0,0.3616793,0
IEV,p5y,loss,0.2232193,0,0.2232193,0
IGE,p3y,profit,0.6571236,0.4157385,0.635341,0.3276281
IGE,p5y,profit,0.6169832,0.5072334,0.6169832,0.1780042
IGE,p3y,loss,0.6169832,0,0.5309147,0
IGE,p5y,loss,0.6169832,0,0.6169832,0
IGM,p3y,profit,0.5516164,0.2850227,0.5957223,0.2505948
IGM,p5y,profit,0.6105388,0.2850227,0.5516164,0.1573983
IGM,p3y,loss,0.6517669,0.6517669,0.2505948,0
IGV,p3y,profit,0.4992573,0.3024508,0.6233993,0.3024508
IGV,p5y,profit,0.6279471,0.3024508,0.4992573,0.1759131
IGV,p3y,loss,-0w,0w,0.1705964,0.1705964
IJH,p3y,profit,0.5609756,0.3159892,0.5609756,0.3159892
IJH,p5y,profit,0.5609756,0.3159892,0.5609756,0.3159892
IJH,p3y,loss,0.1227856,0,0.1227856,0
IJJ,p3y,profit,0.596286,0.430113,0.596286,0.430113
IJJ,p5y,profit,0.596286,0.3820345,0.596286,0.3820345
IJJ,p3y,loss,0.1142428,0,0.1142428,0
IJJ,p5y,loss,0.02191155,0,0.02191155,0
IJK,p3y,profit,0.5448296,0.3146854,0.5448296,0.3146854
IJK,p5y,profit,0.5448296,0.3571642,0.5448296,0.3571642
IJK,p3y,loss,0.06826871,0,0.06826871,0
IJR,p3y,profit,0.5902589,0.3893759,0.5902589,0.3375489
IJR,p5y,profit,0.5902589,0.3343745,0.5902589,0.3343745
IJR,p3y,loss,0.1280096,0,0.1280096,0
IJS,p3y,profit,0.6137473,0.4150715,0.6137473,0.4150715
IJS,p5y,profit,0.6137473,0.3579101,0.6137473,0.3579101
IJS,p3y,loss,0.1385229,0,0.1385229,0
IJS,p5y,loss,0.02274931,0,0.02274931,0
IJT,p3y,profit,0.5797602,0.3819982,0.5797602,0.3819982
IJT,p5y,profit,0.5797602,0.3819982,0.5797602,0.3819982
IJT,p3y,loss,0.1250947,0,0.1250947,0
ILCB,p3y,profit,0.5287647,0.5287647,0.5287647,0.1747619
ILCB,p5y,profit,0.5287647,0.5287647,0.5287647,0.1219246
ILCB,p3y,loss,-0w,0w,0.0245821,0
ILCG,p3y,profit,0.5344954,0.5344954,0.5344954,0.1621821
ILCG,p5y,profit,0.5344954,0.5344954,0.5344954,0.1693814
ILCG,p3y,loss,-0w,0w,0.03193754,0.03193754
ILCV,p3y,profit,0.608536,0.3529637,0.608536,0.06425443
ILCV,p5y,profit,0.608536,0.5607172,0.608536,0.05470515
ILCV,p3y,loss,-0w,0w,0.1542365,0.03662842
ILF,p3y,profit,0.6719239,0.4611202,0.6719239,0.395939
ILF,p5y,profit,0.6719239,0.6029976,0.6719239,0.5247827
ILF,p3y,loss,0.6719239,0.2677746,0.6719239,0
ILF,p5y,loss,0.6719239,0,0.6719239,0
IMCB,p3y,profit,0.5950664,0.2450697,0.5950664,0.2204999
IMCB,p5y,profit,0.5950664,0.5950664,0.5950664,0.5836123
IMCB,p3y,loss,-0w,0w,0.03613041,0
IMCG,p3y,profit,0.5898815,0.5898815,0.5898815,0.3838902
IMCG,p5y,profit,0.5898815,0.5898815,0.5898815,0.5898815
IMCV,p3y,profit,0.6643402,0.4399565,0.6643402,0.1647752
IMCV,p5y,profit,0.6643402,0.6643402,0.6643402,0.158828
IMCV,p3y,loss,0.04461601,0.03149863,0.04461601,0.03149863
IMCV,p5y,loss,0.03810935,0.03810935,0.03810935,0.03810935
IOO,p3y,profit,0.5750141,0.4501444,0.5750141,0.2087923
IOO,p5y,profit,0.5750141,0.3695832,0.5750141,0.2087923
IOO,p3y,loss,0.4538946,0,0.1014243,0
IOO,p5y,loss,0.06182473,0,0.06182473,0
ISCB,p3y,profit,0.6186178,0.2663996,0.6186178,0.2429015
ISCB,p5y,profit,0.6186178,0.2663996,0.6186178,0.2663996
ISCB,p3y,loss,0.0455411,0.03356044,0.0455411,0.03356044
ISCG,p3y,profit,0.5816505,0.5816505,0.5816505,0.2286723
ISCG,p5y,profit,0.5816505,0.5816505,0.5816505,0.5816505
ISCV,p3y,profit,0.6483215,0.2434364,0.6483215,0.2434364
ISCV,p5y,profit,0.6483215,0.2434364,0.6483215,0.2434364
ISCV,p3y,loss,0.09583764,0.04419334,0.09583764,0.04419334
ISCV,p5y,loss,0.03754024,0,0.03754024,0
ITOT,p3y,profit,0.564427,0.5188915,0.564427,0.1847087
ITOT,p5y,profit,0.564427,0.5188915,0.564427,0.1847087
ITOT,p3y,loss,-0w,0w,0.09476345,0
IUSG,p3y,profit,0.5245184,0.3253915,0.5489598,0.07684606
IUSG,p5y,profit,0.5245184,0.2297852,0.5245184,0.09057471
IUSG,p3y,loss,0.5809266,0.4634286,0.06012121,0
IUSV,p3y,profit,0.6199795,0.4652368,0.6199795,0.143101
IUSV,p5y,profit,0.6199795,0.2948897,0.6199795,0.1390619
IUSV,p3y,loss,0.1150162,0,0.1150162,0
IUSV,p5y,loss,0.03249538,0,0.03249538,0
IVE,p3y,profit,0.628782,0.4690449,0.628782,0.110993
IVE,p5y,profit,0.628782,0.2707472,0.628782,0.110993
IVE,p3y,loss,0.4555827,0,0.1245252,0
IVE,p5y,loss,0.07840402,0,0.07840402,0
IVV,p3y,profit,0.5643732,0.4246749,0.5643732,0.1782399
IVV,p5y,profit,0.5643732,0.2575524,0.5643732,0.1782399
IVV,p3y,loss,0.4570147,0,0.09242941,0
IVW,p3y,profit,0.4991454,0.3312153,0.4991454,0.3258951
IVW,p5y,profit,0.4991454,0.1855816,0.4991454,0.1855816
IVW,p3y,loss,0.4668585,0.3752023,0.05465859,0
IWB,p3y,profit,0.5640663,0.4277442,0.5640663,0.08697927
IWB,p5y,profit,0.5640663,0.2558005,0.5640663,0.1854757
IWB,p3y,loss,0.4637047,0,0.09530011,0
IWD,p3y,profit,0.6188459,0.4653243,0.6188459,0.2035183
IWD,p5y,profit,0.6188459,0.3001773,0.6188459,0.2035183
IWD,p3y,loss,0.1386878,0,0.1386878,0
IWD,p5y,loss,0.03230478,0,0.03230478,0
IWF,p3y,profit,0.5208233,0.3262206,0.6397871,0.07118161
IWF,p5y,profit,0.5208233,0.2004206,0.5208233,0.08499812
IWF,p3y,loss,0.5608287,0.4619109,0.05749163,0
IWM,p3y,profit,0.5963274,0.4143406,0.5963274,0.4125413
IWM,p5y,profit,0.5963274,0.3589315,0.5963274,0.3589315
IWM,p3y,loss,0.1400618,0,0.1400618,0
IWN,p3y,profit,0.629758,0.4378098,0.629758,0.2579417
IWN,p5y,profit,0.629758,0.3706361,0.629758,0.2579417
IWN,p3y,loss,0.1540888,0,0.1540888,0
IWN,p5y,loss,0.1320825,0,0.1320825,0
IWO,p3y,profit,0.5805282,0.3284479,0.6055813,0.1585476
IWO,p5y,profit,0.5805282,0.2963056,0.5805282,0.2963056
IWO,p3y,loss,0.5573044,0,0.1606001,0
IWP,p3y,profit,0.5885561,0.3783455,0.5885561,0.3783455
IWP,p5y,profit,0.5885561,0.3346835,0.5885561,0.3346835
IWP,p3y,loss,0.03630617,0.03630617,0.1235727,0
IWR,p3y,profit,0.5986095,0.3593435,0.5986095,0.3593435
IWR,p5y,profit,0.5986095,0.3142425,0.5986095,0.3142425
IWR,p3y,loss,0.04008869,0,0.09915307,0
IWS,p3y,profit,0.6394357,0.4366335,0.6394357,0.4366335
IWS,p5y,profit,0.6394357,0.3350114,0.6394357,0.3350114
IWS,p3y,loss,0.07610917,0,0.07610917,0
IWS,p5y,loss,0.02652282,0.02652282,0.02652282,0.02652282
IWV,p3y,profit,0.5666253,0.424268,0.5666253,0.08955685
IWV,p5y,profit,0.5666253,0.2515285,0.5666253,0.1905978
IWV,p3y,loss,0.457732,0,0.0971867,0
IXC,p3y,profit,0.6749378,0.2832353,0.6749378,0.2832353
IXC,p5y,profit,0.5645014,0.4733515,0.5645014,0.2414943
IXC,p3y,loss,0.5645014,0,0.5173872,0
IXC,p5y,loss,0.5645014,0,0.5645014,0
IXG,p3y,profit,0.7961511,0.09272962,0.7961511,0.09272962
IXG,p5y,profit,0.7961511,0.03230333,0.7961511,0
IXG,p3y,loss,0.3259083,0,0.3259083,0
IXG,p5y,loss,0.3259083,0,0.3259083,0
IXJ,p3y,profit,0.4228378,0.3481324,0.4228378,0.3481324
IXJ,p5y,profit,0.4228378,0.2025448,0.4228378,0.2025448
IXJ,p3y,loss,-0w,0w,0.046,0
IXN,p3y,profit,0.5556352,0.3802767,0.5556352,0.3802767
IXN,p5y,profit,0.5556352,0.3004992,0.5556352,0.3004992
IXN,p3y,loss,-0w,0w,0.2286887,0
IXP,p3y,profit,0.5250298,0.226143,0.5250298,0.1623337
IXP,p5y,profit,0.5250298,0.226143,0.5250298,0.1646923
IXP,p3y,loss,0.09183535,0,0.09183535,0
IXP,p5y,loss,0.07005512,0,0.07005512,0
IYC,p3y,profit,0.5399197,0.2304438,0.5399197,0.2304438
IYC,p5y,profit,0.5399197,0.2186536,0.5399197,0.2186536
IYC,p3y,loss,0.4124391,0.04449388,0.1054236,0
IYE,p3y,profit,0.7298388,0.3779683,0.7092542,0.3267096
IYE,p5y,profit,0.5623539,0.4773483,0.5623539,0.2216833
IYE,p3y,loss,0.5623539,0,0.4962404,0
IYE,p5y,loss,0.5623539,0,0.5623539,0
IYF,p3y,profit,0.8029012,0.02546201,0.8029012,0
IYF,p5y,profit,0.8029012,0.01621742,0.8029012,0
IYF,p3y,loss,0.3674512,0,0.3674512,0
IYF,p5y,loss,0.3241663,0,0.3241663,0
IYG,p3y,profit,0.8289971,0,0.8289971,0
IYG,p5y,profit,0.8289971,0,0.8289971,0
IYG,p3y,loss,0.5793909,0,0.3579942,0
IYG,p5y,loss,0.5793909,0,0.3579942,0
IYH,p3y,profit,0.3972211,0.1818542,0.8487827,0.1818542
IYH,p5y,profit,0.3972211,0.07965143,0.3972211,0.07965143
IYH,p3y,loss,0.4342889,0,0.08011823,0
IYJ,p3y,profit,0.6273976,0.4252173,0.6273976,0.2514621
IYJ,p5y,profit,0.6273976,0.3250993,0.6273976,0.2514621
IYJ,p3y,loss,0.4727048,0,0.1185878,0
IYK,p3y,profit,0.4420465,0.2306067,0.8033754,0.2306067
IYK,p5y,profit,0.4420465,0.2306067,0.4420465,0.2306067
IYK,p3y,loss,0.0361776,0,0.0361776,0
IYM,p3y,profit,0.6821394,0.4080871,0.6821394,0.3210488
IYM,p5y,profit,0.6821394,0.4924717,0.6821394,0.4924717
IYM,p3y,loss,0.1783635,0,0.1783635,0
IYM,p5y,loss,0.1247959,0.1247959,0.1247959,0.1247959
IYT,p3y,profit,0.6094987,0.2607967,0.6094987,0.2607967
IYT,p5y,profit,0.6094987,0.2462959,0.6094987,0.2462959
IYT,p5y,loss,0.0608296,0.0608296,0.0608296,0.0608296
IYW,p3y,profit,0.8175135,0.2137671,0.8175135,0.2137671
IYW,p5y,profit,0.8175135,0.07157932,0.5516308,0.008189094
IYY,p3y,profit,0.5634097,0.4236522,0.5634097,0.08792686
IYY,p5y,profit,0.5634097,0.250014,0.5634097,0.1873579
IYY,p3y,loss,0.4653414,0,0.09611074,0
IYZ,p3y,profit,0.6271593,0.08445516,0.7764312,0.06412171
IYZ,p5y,profit,0.6271593,0.4158787,0.6271593,0.06304694
IYZ,p3y,loss,0.583292,0,0.3334853,0
IYZ,p5y,loss,0.583292,0,0.3248423,0
JPXN,p3y,profit,0.5562704,0.2379583,0.5562704,0.2104315
JPXN,p5y,profit,0.5562704,0.2027266,0.5562704,0.201977
JPXN,p3y,loss,0.2443815,0.19711,0.2443815,0
JPXN,p5y,loss,0.19711,0.19711,0.19711,0.19711
OEF,p3y,profit,0.5552387,0.4137999,0.5552387,0.1088207
OEF,p5y,profit,0.5552387,0.2113964,0.5552387,0.1088207
OEF,p3y,loss,0.4789963,0,0.08468919,0
SOXX,p3y,profit,0.6691135,0.3096391,0.6725498,0.1780972
SOXX,p5y,profit,0.6691135,0.3096391,0.6691135,0.1780972
SOXX,p3y,loss,0.6725498,0,0.3759966,0
SOXX,p5y,loss,0.656918,0,0.3759966,0
