ticker,inception_date,net_assets,equity_class,region,market
EWJ,1996-03-12,16982598126.09,Large/Mid Cap,Asia Pacific,Developed
EWC,1996-03-12,2830342668.35,Large/Mid Cap,North America,Developed
EWU,1996-03-12,2575369328.63,Large/Mid Cap,Europe,Developed
EWW,1996-03-12,2120734241.78,All Cap,Latin America,Emerging
EWA,1996-03-12,1849444718.31,Large/Mid Cap,Asia Pacific,Developed
EWL,1996-03-12,1085972260.69,Large/Mid Cap,Europe,Developed
EWP,1996-03-12,1061807708.57,Large/Mid Cap,Europe,Developed
EWG,1996-03-12,998923693.48,Large/Mid Cap,Europe,Developed
EWQ,1996-03-12,669934315.68,Large/Mid Cap,Europe,Developed
EWH,1996-03-12,493008432.52,Large/Mid Cap,Asia Pacific,Developed
EWS,1996-03-12,424773018.37,Large/Mid Cap,Asia Pacific,Developed
EWI,1996-03-12,420621202.19,Large/Mid Cap,Europe,Developed
EWD,1996-03-12,280330904.45,Large/Mid Cap,Europe,Developed
EWN,1996-03-12,278505118.46,All Cap,Europe,Developed
EWM,1996-03-12,254473705.39,Large/Mid Cap,Asia Pacific,Emerging
EWO,1996-03-12,59067855.51,All Cap,Europe,Developed
EWK,1996-03-12,20892468.54,All Cap,Europe,Developed
EWY,2000-05-09,5063704244.84,Large/Mid Cap,Asia Pacific,Emerging
IVV,2000-05-15,445509619219.47,Large Cap,North America,Developed
IWB,2000-05-15,34713667451.48,Large/Mid Cap,North America,Developed
IYW,2000-05-15,16153127212.76,All Cap,North America,Developed
IWF,2000-05-22,87322843226.07,Large/Mid Cap,North America,Developed
IJH,2000-05-22,82773951516.31,Mid Cap,North America,Developed
IJR,2000-05-22,78097438824.72,Small Cap,North America,Developed
IWM,2000-05-22,62969062569.46,Small Cap,North America,Developed
IWD,2000-05-22,54897410557.94,Large/Mid Cap,North America,Developed
IVW,2000-05-22,43556380711.22,Large Cap,North America,Developed
IVE,2000-05-22,32742429507.5,Large Cap,North America,Developed
IWV,2000-05-22,13364592814.9,All Cap,North America,Developed
IYF,2000-05-22,2562883615.09,All Cap,North America,Developed
IYZ,2000-05-22,232576610.25,All Cap,North America,Developed
IYH,2000-06-12,3377915534.5,All Cap,North America,Developed
IYY,2000-06-12,1868736137.32,All Cap,North America,Developed
IYJ,2000-06-12,1563695460.5,All Cap,North America,Developed
IYE,2000-06-12,1385713149.27,All Cap,North America,Developed
IYG,2000-06-12,1319233364.56,All Cap,North America,Developed
IYK,2000-06-12,1294809726.58,All Cap,North America,Developed
IYC,2000-06-12,994132857.22,All Cap,North America,Developed
IDU,2000-06-12,873253335.39,All Cap,North America,Developed
IYM,2000-06-12,625564781.67,All Cap,North America,Developed
EWT,2000-06-20,4096962585.17,Large/Mid Cap,Asia Pacific,Emerging
EWZ,2000-07-10,5036446686.41,Large/Mid Cap,Latin America,Emerging
IUSV,2000-07-24,16636047153.27,All Cap,North America,Developed
IUSG,2000-07-24,16632166931.2,All Cap,North America,Developed
IWN,2000-07-24,12152010778.05,Small Cap,North America,Developed
IWO,2000-07-24,11232465480.33,Small Cap,North America,Developed
IJK,2000-07-24,9552312409.65,Mid Cap,North America,Developed
IJJ,2000-07-24,7420626594.26,Mid Cap,North America,Developed
IJS,2000-07-24,6949480819.42,Small Cap,North America,Developed
IJT,2000-07-24,5757990444.6,Small Cap,North America,Developed
EZU,2000-07-25,7709999744.18,Large/Mid Cap,Europe,Developed
IEV,2000-07-25,1681461057.19,Large/Mid Cap,Europe,Developed
OEF,2000-10-23,11478245555.83,Large Cap,North America,Developed
IOO,2000-12-05,5146205837.55,Large Cap,Global,Developed
IBB,2001-02-05,7261454469.88,All Cap,North America,Developed
IGM,2001-03-13,4292236422.59,All Cap,North America,Developed
SOXX,2001-07-10,12449511610.07,All Cap,North America,Developed
IGV,2001-07-10,7261623548.61,All Cap,North America,Developed
IDGT,2001-07-10,42137262.66,All Cap,North America,Developed
IWR,2001-07-17,32883990787.13,Mid Cap,North America,Developed
IWP,2001-07-17,15088199972.04,Mid Cap,North America,Developed
IWS,2001-07-17,13795780297.11,Mid Cap,North America,Developed
EFA,2001-08-14,52690673246.86,Large/Mid Cap,Global,Developed
IGE,2001-10-22,595835768.64,All Cap,North America,Developed
JPXN,2001-10-23,87674703.97,Large/Mid Cap,Asia Pacific,Developed
EPP,2001-10-25,1929787703.66,Large/Mid Cap,Asia Pacific,Developed
ILF,2001-10-25,1689494803.16,Large Cap,Latin America,Emerging
IXN,2001-11-12,4447321680.18,All Cap,Global,Developed
IXC,2001-11-12,3464090327.08,All Cap,Global,Developed
IXG,2001-11-12,396942817.17,All Cap,Global,Developed
IXP,2001-11-12,274283396.02,All Cap,Global,Developed
IXJ,2001-11-13,3969860615.79,All Cap,Global,Developed
EZA,2003-02-03,272563762.15,Large/Mid Cap,Middle East and Africa,Emerging
EEM,2003-04-07,18290019071.55,Large/Mid Cap,Global,Emerging
IYT,2003-10-06,954128058.23,All Cap,North America,Developed
DVY,2003-11-03,18569409104.5,All Cap,North America,Developed
ITOT,2004-01-20,53070439932.03,All Cap,North America,Developed
ILCG,2004-06-28,2066312112.0,Large/Mid Cap,North America,Developed
IMCG,2004-06-28,2015605567.06,Mid Cap,North America,Developed
ILCV,2004-06-28,914992164.27,Large/Mid Cap,North America,Developed
ILCB,2004-06-28,876964079.45,Large/Mid Cap,North America,Developed
IMCB,2004-06-28,852375720.36,Mid Cap,North America,Developed
IMCV,2004-06-28,611698348.85,Mid Cap,North America,Developed
ISCG,2004-06-28,541025954.84,Small Cap,North America,Developed
ISCV,2004-06-28,414029260.1,Small Cap,North America,Developed
ISCB,2004-06-28,219962948.28,Small Cap,North America,Developed
FXI,2004-10-05,4539809796.88,Large Cap,Asia Pacific,Emerging
